"text","intent"
"как настроение после обновления","mood"
"как ты сегодня, бот","mood"
"как успехи в работе","mood"
"как твой день","mood"
"какое сегодня число","day"
"какая дата","day"
"сегодняшний день","day"
"какой день","day"
"какое число","day"
"день недели","day"
"какой сегодня день","day"
"дата сегодня","day"
"какое сегодня число и месяц","day"
"сегодня какое число","day"
"какой день недели сегодня","day"
"число сегодня","day"
"какая сегодня дата","day"
"какой сегодня день недели","day"
"назови сегодняшнюю дату","day"
"какое сегодня","day"
"сегодняшняя дата","day"
"какое число сейчас","day"
"какой сейчас день","day"
"какое сегодня число месяца","day"
"день недели какой","day"
"какой сегодня день и число","day"
"сегодня какой день","day"
"что за день сегодня","day"
"какое число сегодняшнее","day"
"сегодня какое число и день недели","day"
"напиши сегодняшнюю дату","day"
"какой день недели","day"
"какое сегодня число, подскажи","day"
"дата и день недели","day"
"сегодня какой день недели","day"
"какое число и месяц","day"
"текущая дата","day"
"какой день сегодня по счету","day"
"сегодня какой день","day"
"какое сегодня число и месяц","day"
"покажи сегодняшнюю дату","day"
"какое число, подскажи","day"
"сегодня какое число, скажи","day"
"какой день недели сейчас","day"
"сегодняшнее число","day"
"меня зовут Алексей","set_name"
"моё имя Иван","set_name"
"называй меня Мария","set_name"
"зови меня Дмитрий","set_name"
"я Ольга","set_name"
"моё имя - Сергей","set_name"
"меня зовут Елена","set_name"
"я Антон","set_name"
"называйте меня Виктория","set_name"
"зовите меня Николай","set_name"
"меня звать Татьяна","set_name"
"я Борис","set_name"
"моё имя Анастасия","set_name"
"меня зовут Михаил","set_name"
"можно звать меня Ксения","set_name"
"зови меня Даниил","set_name"
"я София","set_name"
"моё имя Артём","set_name"
"меня звать Алиса","set_name"
"я Максим","set_name"
"зовите меня Екатерина","set_name"
"называйте меня Илья","set_name"
"меня зовут Валерия","set_name"
"я Тимур","set_name"
"моё имя Полина","set_name"
"меня звать Александр","set_name"
"я Дарья","set_name"
"зови меня Никита","set_name"
"меня зовут Вероника","set_name"
"я Кирилл","set_name"
"моё имя Елизавета","set_name"
"меня звать Ярослав","set_name"
"я Виктор","set_name"
"зовите меня Наталья","set_name"
"называйте меня Игорь","set_name"
"меня зовут Маргарита","set_name"
"я Роман","set_name"
"моё имя Светлана","set_name"
"меня звать Григорий","set_name"
"я Евгения","set_name"
"зови меня Давид","set_name"
"меня зовут Юлия","set_name"
"я Константин","set_name"
"моё имя Милана","set_name"
"называй меня Денис","set_name"
"зовите меня Кристина","set_name"
"я Вадим","set_name"
"меня зовут Лидия","set_name"
"я Семен","set_name"
"2+2","addition"
"сколько будет 2+3","addition"
"5 плюс 7","addition"
"сложи 8 и 4","addition"
"10 прибавить 15","addition"
"вычисли 20+30","addition"
"3 + 4","addition"
"сложение: 12+8","addition"
"сколько получится 6+9","addition"
"9 плюс 11","addition"
"прибавь 7 к 5","addition"
"сложи числа 25 и 14","addition"
"100+200","addition"
"сколько будет 45+55","addition"
"выполни сложение 33 и 22","addition"
"13 плюс 27","addition"
"1+1","addition"
"2 плюс 2","addition"
"сложи 18 и 9","addition"
"7+14","addition"
"50+50","addition"
"сколько будет 123+456","addition"
"прибавь 5 к 3","addition"
"4 + 8","addition"
"вычисли сумму 30 и 40","addition"
"15 плюс 25","addition"
"сложи 6 и 12","addition"
"10+10","addition"
"сколько 11+22","addition"
"33 плюс 44","addition"
"сложи 100 и 150","addition"
"2+2 сколько","addition"
"найди сумму 5 и 5","addition"
"сколько будет 14+16","addition"
"прибавить 8 к 7","addition"
"70+80","addition"
"сложи 90 и 10","addition"
"25 плюс 75","addition"
"сложение 4 и 6","addition"
"10-4","subs"
"сколько будет 15-7","subs"
"20 минус 8","subs"
"вычти 6 из 12","subs"
"30 отнять 15","subs"
"разность 50 и 25","subs"
"10 - 3","subs"
"вычисли 100-50","subs"
"сколько получится 9-2","subs"
"40 минус 12","subs"
"отними 5 от 18","subs"
"8-3","subs"
"100 минус 60","subs"
"вычти 10 из 25","subs"
"50-20","subs"
"сколько будет 200-150","subs"
"75 отнять 30","subs"
"разность 7 и 2","subs"
"14 минус 9","subs"
"23-8","subs"
"90-40","subs"
"вычти 7 из 14","subs"
"32-11","subs"
"120-70","subs"
"45 минус 20","subs"
"сколько 300-100","subs"
"80-35","subs"
"отними 4 от 9","subs"
"17-6","subs"
"1000-500","subs"
"разность 64 и 32","subs"
"22-13","subs"
"55-15","subs"
"вычти 25 из 60","subs"
"12-7","subs"
"150-80","subs"
"сколько будет 48-23","subs"
"95-40","subs"
"отними 2 от 10","subs"
