"text","intent"
"Сегодняшнее число","date"
"Какой сегодня день","date"
"Какое число","date"
"Какая дата сегодня","date"
"Какой день недели","date"
"Какой сегодня день недели","date"
"Сегодня какое число","date"
"Назови сегодняшнюю дату","date"
"Число сегодня","date"
"Сегодняшняя дата","date"
"Какое сегодня число месяца","date"
"Какой день","date"
"Дата сегодня","date"
"какое сегодня число","date"
"какая дата","date"
"сегодняшний день","date"
"какой день","date"
"день недели","date"
"какой сегодня день","date"
"дата сегодня","date"
"какое сегодня число и месяц","date"
"сегодня какое число","date"
"какой день недели сегодня","date"
"число сегодня","date"
"какая сегодня дата","date"
"какой сегодня день недели","date"
"назови сегодняшнюю дату","date"
"какое сегодня","date"
"сегодняшняя дата","date"
"какое число сейчас","date"
"какой сейчас день","date"
"какое сегодня число месяца","date"
"день недели какой","date"
"какой сегодня день и число","date"
"сегодня какой день","date"
"что за день сегодня","date"
"какое число сегодняшнее","date"
"сегодня какое число и день недели","date"
"напиши сегодняшнюю дату","date"
"какой день недели","date"
"какое сегодня число подскажи","date"
"дата и день недели","date"
"сегодня какой день недели","date"
"какое число и месяц","date"
"текущая дата","date"
"какой день сегодня по счету","date"
"сегодня какой день","date"
"какое сегодня число и месяц","date"
"покажи сегодняшнюю дату","date"
"какое число подскажи","date"
"сегодня какое число скажи","date"
"какой день недели сейчас","date"
"сегодняшнее число","date"
"Привет","greeting"
"Здравствуйте","greeting"
"Добрый день","greeting"
"Доброе утро","greeting"
"Добрый вечер","greeting"
"Здрасте","greeting"
"Хай","greeting"
"Салют","greeting"
"Приветствую","greeting"
"Здорово","greeting"
"Приветик","greeting"
"Здравствуй","greeting"
"Доброго времени суток","greeting"
"Приветствую вас","greeting"
"Всем привет","greeting"
"Привет всем","greeting"
"Здравия желаю","greeting"
"Доброго здоровья","greeting"
"привет","greeting"
"здравствуйте","greeting"
"добрый день","greeting"
"доброе утро","greeting"
"добрый вечер","greeting"
"здрасте","greeting"
"приветствую","greeting"
"хай","greeting"
"салют","greeting"
"здорово","greeting"
"приветик","greeting"
"здравствуй","greeting"
"доброго времени суток","greeting"
"приветствую вас","greeting"
"всем привет","greeting"
"привет-привет","greeting"
"здравия желаю","greeting"
"добрый день чем могу помочь","greeting"
"здравствуйте это бот","greeting"
"привет как дела","greeting"
"здравствуйте я по делу","greeting"
"добрый вечерок","greeting"
"утречко","greeting"
"здравствуйте можно вопрос","greeting"
"приветик как жизнь","greeting"
"салют народ","greeting"
"здорово что тут у вас","greeting"
"привет это тестовый диалог","greeting"
"добрый день погода сегодня","greeting"
"здрасте не подскажете","greeting"
"хай есть кто","greeting"
"приветствую давно не виделись","greeting"
"здравствуйте я хотел бы спросить","greeting"
"привет меня зовут","greeting"
"здравствуйте я новый пользователь","greeting"
"добрый день какая сегодня дата","greeting"
"привет я здесь впервые","greeting"
"здравствуйте бот вы работаете","greeting"
"приветствую начнём диалог","greeting"
"здравия","greeting"
"добрый денёк","greeting"
"здравствуйте-здравствуйте","greeting"
"приветствую вас снова","greeting"
"хай-хай","greeting"
"салют как сам","greeting"
"здорово приятель","greeting"
"привет как настроение","greeting"
"добрый день я по поводу погоды","greeting"
"здрасте можно спросить","greeting"
"всем здравствуйте","greeting"
"доброго утречка","greeting"
"Пока","farewell"
"До свидания","farewell"
"Увидимся","farewell"
"Прощай","farewell"
"Всего хорошего","farewell"
"До встречи","farewell"
"Пока-пока","farewell"
"Бывай","farewell"
"До скорого","farewell"
"Счастливо","farewell"
"Всего доброго","farewell"
"До связи","farewell"
"Чао","farewell"
"Бай-бай","farewell"
"Покеда","farewell"
"пока","farewell"
"до свидания","farewell"
"всего хорошего","farewell"
"до встречи","farewell"
"пока-пока","farewell"
"бывай","farewell"
"прощай","farewell"
"увидимся","farewell"
"до скорого","farewell"
"счастливо","farewell"
"всего доброго","farewell"
"до связи","farewell"
"покеда","farewell"
"чао","farewell"
"бай-бай","farewell"
"удачи","farewell"
"до завтра","farewell"
"пока до новых встреч","farewell"
"прощайте","farewell"
"всех благ","farewell"
"бывайте","farewell"
"до вечера","farewell"
"до скорой встречи","farewell"
"счастливого пути","farewell"
"пока спасибо за помощь","farewell"
"до свидания всего доброго","farewell"
"ну всё пока","farewell"
"ладно бывай","farewell"
"увидимся позже","farewell"
"пока не болей","farewell"
"чао-какао","farewell"
"прощайте был рад","farewell"
"до связи бот","farewell"
"всего","farewell"
"пока до завтра","farewell"
"удачи тебе","farewell"
"счастливо оставаться","farewell"
"прощай не скучай","farewell"
"до встречи пока","farewell"
"пока-пока удачи","farewell"
"давай прощай","farewell"
"бывай здоров","farewell"
"всегда рад но пока","farewell"
"до следующего раза","farewell"
"пока хорошего дня","farewell"
"до свидания спасибо","farewell"
"пока до связи","farewell"
"ну всё бывай","farewell"
"прощай приятно было пообщаться","farewell"
"удачи во всём","farewell"
"до встречи не скучай","farewell"
"счастливо пока","farewell"
"до свидания хорошего вечера","farewell"
"помощь","help"
"Помощь","help"
"нужна помощь","help"
"помоги","help"
"Помоги","help"
"подскажи","help"
"что ты умеешь","help"
"Что ты умеешь","help"
"какие команды","help"
"Какие команды","help"
"расскажи о себе","help"
"что можешь","help"
"какие функции","help"
"список команд","help"
"что делаешь","help"
"как работать","help"
"инструкция","help"
"как пользоваться","help"
"что ты можешь делать","help"
"твои возможности","help"
"покажи команды","help"
"расскажи что умеешь","help"
"хелп","help"
"help","help"
"помощь бот","help"
"нужна помощь бота","help"
"что ты умеешь делать","help"
"какие у тебя функции","help"
"что ты можешь","help"
"твой функционал","help"
"как с тобой работать","help"
"какие возможности","help"
"расскажи о функциях","help"
"что ты можешь сделать","help"
"покажи что умеешь","help"
"обучение","help"
"как тебя использовать","help"
"команды бота","help"
"все команды","help"
"список возможностей","help"
"Как дела","smalltalk"
"Как настроение","smalltalk"
"Как жизнь","smalltalk"
"Что нового","smalltalk"
"Как поживаешь","smalltalk"
"Как сам","smalltalk"
"Как ты","smalltalk"
"Как делишки","smalltalk"
"Как оно","smalltalk"
"Что делаешь","smalltalk"
"Как успехи","smalltalk"
"Как ты там","smalltalk"
"Как настроение сегодня","smalltalk"
"Что с настроением","smalltalk"
"Как ты поживаешь","smalltalk"
"как дела","smalltalk"
"как настроение","smalltalk"
"что делаешь","smalltalk"
"как ты","smalltalk"
"как жизнь","smalltalk"
"как сам","smalltalk"
"как поживаешь","smalltalk"
"как твои дела","smalltalk"
"настроение","smalltalk"
"как ты там","smalltalk"
"как успехи","smalltalk"
"как самочувствие","smalltalk"
"как делишки","smalltalk"
"как живется","smalltalk"
"как у тебя дела","smalltalk"
"что нового","smalltalk"
"как ты поживаешь","smalltalk"
"как настроение сегодня","smalltalk"
"как жизнь молодая","smalltalk"
"как оно","smalltalk"
"что делаешь сейчас","smalltalk"
"как ты вообще","smalltalk"
"как ты себя чувствуешь","smalltalk"
"как работа","smalltalk"
"как отдыхается","smalltalk"
"как настрой","smalltalk"
"как самочувствие сегодня","smalltalk"
"как ты сегодня","smalltalk"
"какие новости","smalltalk"
"как прошел день","smalltalk"
"как ты тут","smalltalk"
"как ты бот","smalltalk"
"как твое настроение","smalltalk"
"что ты делаешь","smalltalk"
"как у тебя жизнь","smalltalk"
"как ты справляешься","smalltalk"
"как жизнь в целом","smalltalk"
"что нового у тебя","smalltalk"
"как настроение друг","smalltalk"
"как дела приятель","smalltalk"
"как ты давно не общались","smalltalk"
"как поживаешь бот","smalltalk"
"как у тебя настроение сейчас","smalltalk"
"как дела в этом чате","smalltalk"
"как жизнь твоя","smalltalk"
"как настроение после обновления","smalltalk"
"как ты сегодня бот","smalltalk"
"как успехи в работе","smalltalk"
"как твой день","smalltalk"
"2+2","addition"
"Сколько будет 2 плюс 2","addition"
"Сложи 3 и 5","addition"
"Сумма 10 и 20","addition"
"5 плюс 7","addition"
"Сколько будет 10+15","addition"
"Прибавь 8 к 4","addition"
"Вычисли 6+9","addition"
"Сложение 12 и 8","addition"
"Найди сумму 25 и 30","addition"
"Сколько будет 100 плюс 200","addition"
"Прибавь 5 к 3","addition"
"Сложи 15 и 25","addition"
"сколько будет 2+3","addition"
"5 плюс 7","addition"
"сложи 8 и 4","addition"
"10 прибавить 15","addition"
"вычисли 20+30","addition"
"3 + 4","addition"
"сложение 12+8","addition"
"сколько получится 6+9","addition"
"9 плюс 11","addition"
"прибавь 7 к 5","addition"
"сложи числа 25 и 14","addition"
"100+200","addition"
"сколько будет 45+55","addition"
"выполни сложение 33 и 22","addition"
"13 плюс 27","addition"
"1+1","addition"
"2 плюс 2","addition"
"сложи 18 и 9","addition"
"7+14","addition"
"50+50","addition"
"сколько будет 123+456","addition"
"прибавь 5 к 3","addition"
"4 + 8","addition"
"вычисли сумму 30 и 40","addition"
"15 плюс 25","addition"
"сложи 6 и 12","addition"
"10+10","addition"
"сколько 11+22","addition"
"33 плюс 44","addition"
"сложи 100 и 150","addition"
"2+2 сколько","addition"
"найди сумму 5 и 5","addition"
"сколько будет 14+16","addition"
"прибавить 8 к 7","addition"
"70+80","addition"
"сложи 90 и 10","addition"
"25 плюс 75","addition"
"сложение 4 и 6","addition"
"Спасибо","thanks"
"Благодарю","thanks"
"Мерси","thanks"
"Спасибо большое","thanks"
"Огромное спасибо","thanks"
"Благодарствую","thanks"
"Сенкс","thanks"
"спасибо","thanks"
"благодарю","thanks"
"мерси","thanks"
"сенкс","thanks"
"Расскажи шутку","joke"
"Рассмеши меня","joke"
"Анекдот","joke"
"Смешное","joke"
"Пошути","joke"
"Расскажи анекдот","joke"
"Хочу шутку","joke"
"шутку","joke"
"анекдот","joke"
"рассмеши","joke"
"пошути","joke"
"Меня зовут Алексей","set_name"
"Моё имя Мария","set_name"
"Зови меня Дмитрий","set_name"
"Называй меня Анна","set_name"
"Я Сергей","set_name"
"Меня звать Елена","set_name"
"Можно звать меня Максим","set_name"
"Зовите меня Ольга","set_name"
"Моё имя - Иван","set_name"
"Меня зовут Татьяна","set_name"
"меня зовут Алексей","set_name"
"моё имя Иван","set_name"
"называй меня Мария","set_name"
"зови меня Дмитрий","set_name"
"я Ольга","set_name"
"моё имя - Сергей","set_name"
"меня зовут Елена","set_name"
"я Антон","set_name"
"называйте меня Виктория","set_name"
"зовите меня Николай","set_name"
"меня звать Татьяна","set_name"
"я Борис","set_name"
"моё имя Анастасия","set_name"
"меня зовут Михаил","set_name"
"можно звать меня Ксения","set_name"
"зови меня Даниил","set_name"
"я София","set_name"
"моё имя Артём","set_name"
"меня звать Алиса","set_name"
"я Максим","set_name"
"зовите меня Екатерина","set_name"
"называйте меня Илья","set_name"
"меня зовут Валерия","set_name"
"я Тимур","set_name"
"моё имя Полина","set_name"
"меня звать Александр","set_name"
"я Дарья","set_name"
"зови меня Никита","set_name"
"меня зовут Вероника","set_name"
"я Кирилл","set_name"
"моё имя Елизавета","set_name"
"меня звать Ярослав","set_name"
"я Виктор","set_name"
"зовите меня Наталья","set_name"
"называйте меня Игорь","set_name"
"меня зовут Маргарита","set_name"
"я Роман","set_name"
"моё имя Светлана","set_name"
"меня звать Григорий","set_name"
"я Евгения","set_name"
"зови меня Давид","set_name"
"меня зовут Юлия","set_name"
"я Константин","set_name"
"моё имя Милана","set_name"
"называй меня Денис","set_name"
"зовите меня Кристина","set_name"
"я Вадим","set_name"
"меня зовут Лидия","set_name"
"я Семен","set_name"
"Нужен ли зонт","umbrella"
"Брать зонт сегодня","umbrella"
"Стоит ли брать зонт","umbrella"
"Зонт нужен","umbrella"
"Дождь будет","umbrella"
"Осадки ожидаются","umbrella"
"Надо брать зонт","umbrella"
"Зонт брать","umbrella"
"Нужен зонт в Москве","umbrella"
"Стоит ли брать зонт в Питере","umbrella"
"нужен ли зонт","umbrella"
"брать зонт","umbrella"
"зонт нужен","umbrella"
"дождь будет","umbrella"
"Как тебя зовут","bot_name"
"Кто ты","bot_name"
"Твоё имя","bot_name"
"Как тебя называть","bot_name"
"Представься","bot_name"
"Ты кто","bot_name"
"Скажи своё имя","bot_name"
"Какое у тебя имя","bot_name"
"как тебя зовут","bot_name"
"кто ты","bot_name"
"твоё имя","bot_name"
